customer_id,customer_age,education_level,marital_status,income_category,number_products_customer,weeks_tenure,contacts_last_12mths,credit_limit,card_class,inactive_months_last_12mths,total_revolving_balance,count_transactions,transactions_amount,change_transaction_amt_last_3mths,change_transaction_count_last_3mths,churn
4283,48.0,post-graduate,married,70k€-110k€,5,175,2,6849.0,red,2,2126,43,1651,0.611,0.344,0
6154,46.0,graduate,married,<30k€,1,143,2,1438.3,red,2,834,70,4976,0.635,0.842,0
2899,46.0,graduate,married,50k€-70k€,4,159,4,33122.0,red plus,2,1587,63,3145,0.475,0.75,0
1130,44.0,graduate,married,<30k€,3,168,3,3521.0,red,1,672,65,3291,0.655,0.757,0
8863,53.0,,married,50k€-70k€,3,148,4,22224.0,red,2,979,69,3346,1.255,1.156,0
5749,39.0,high school,married,30k€-50k€,5,118,3,18797.0,red plus,1,2158,40,1364,0.446,0.538,0
231,61.0,,married,<30k€,3,148,3,2882.0,red,4,2081,103,4933,0.644,0.661,0
7008,49.0,graduate,single,,3,168,2,9352.0,red,2,1429,71,3536,0.728,0.69,0
5729,,graduate,married,30k€-50k€,3,140,3,4189.0,red,3,2066,85,4661,0.686,0.735,0
6528,41.0,graduate,single,+110k€,3,143,3,7015.0,red,4,0,51,1799,0.456,0.645,1
6909,41.0,uneducated,divorced,50k€-70k€,4,141,0,11501.0,red,3,713,41,1481,0.84,0.519,0
9777,49.0,post-graduate,married,30k€-50k€,3,148,3,5527.0,red,2,1120,37,2281,0.442,0.48,1
2098,,uneducated,married,30k€-50k€,1,148,1,1438.3,red,3,458,42,1863,0.613,0.312,1
1959,54.0,high school,single,30k€-50k€,1,171,2,2205.0,red,2,1313,82,4904,0.929,0.673,0
7469,33.0,high school,single,+110k€,3,149,2,7361.0,red,2,0,44,2109,0.59,0.571,1
6279,60.0,,single,<30k€,5,217,2,7501.0,red,6,2517,49,2280,0.663,0.531,1
2991,36.0,uneducated,married,50k€-70k€,5,91,2,6985.0,red,2,1130,44,1694,0.963,0.76,0
5221,36.0,graduate,married,30k€-50k€,5,125,4,6469.0,red,3,2351,50,1717,1.018,0.667,0
9028,52.0,graduate,married,30k€-50k€,3,180,3,1655.0,red,3,0,67,4621,0.766,0.675,0
8935,60.0,,single,30k€-50k€,2,207,1,15164.0,red plus,2,1071,103,13062,0.9,0.717,0
10044,45.0,high school,married,,1,123,2,1821.0,red,1,935,87,4786,0.781,0.776,0
3529,47.0,high school,single,<30k€,4,143,1,1686.0,red,6,1271,64,3445,1.087,0.73,0
4572,48.0,post-graduate,single,<30k€,4,143,3,2888.0,red,2,1641,61,3703,0.976,1.179,0
9790,54.0,college,married,+110k€,2,191,1,34516.0,red unlimited,1,1464,87,7690,0.689,0.673,0
1077,50.0,phd,divorced,30k€-50k€,4,142,2,3646.0,red,3,1047,38,1969,0.633,0.52,1
7595,51.0,uneducated,single,<30k€,5,152,4,2934.0,red,1,2381,64,3396,0.762,0.778,0
5948,59.0,uneducated,married,<30k€,5,207,4,1438.3,red,5,0,44,2146,0.656,0.63,1
8610,28.0,graduate,single,<30k€,6,64,3,2740.0,red,3,2069,44,1997,0.418,0.419,0
948,50.0,college,married,70k€-110k€,5,132,3,25190.0,red,2,0,41,1533,0.467,0.323,1
2603,28.0,post-graduate,single,30k€-50k€,1,60,3,4015.0,red,1,0,65,8363,1.045,0.806,1
1796,48.0,graduate,married,50k€-70k€,2,133,2,1687.0,red,2,1107,17,1670,1.715,2.4,0
4384,40.0,phd,single,,4,147,4,26923.0,red,1,2461,94,13643,0.602,0.918,0
3957,38.0,high school,,<30k€,6,148,2,1438.3,red,4,636,83,4824,0.838,0.766,0
3813,50.0,college,single,<30k€,4,183,4,4785.0,red,2,1965,59,3651,0.8,0.553,0
2360,31.0,high school,single,,5,100,4,16915.0,red,2,1679,55,2795,0.834,0.833,0
7477,,,married,30k€-50k€,1,99,2,2803.0,red,1,1747,71,5089,0.954,1.029,0
2492,46.0,uneducated,,70k€-110k€,6,167,2,23271.0,red,2,1262,34,1402,0.718,0.889,0
1607,46.0,,divorced,,5,163,3,26496.0,red,2,1406,75,3691,0.96,0.705,0
3228,44.0,college,married,70k€-110k€,6,109,3,1438.3,red,2,864,40,2299,0.766,0.481,1
4977,51.0,high school,married,70k€-110k€,5,147,3,34516.0,red plus,3,2292,71,8045,0.876,0.868,1
990,24.0,post-graduate,divorced,50k€-70k€,2,63,3,8022.0,red,1,0,59,5660,0.381,0.735,1
2558,45.0,high school,married,30k€-50k€,3,124,4,4333.0,red,3,739,100,15903,0.69,0.754,0
3392,40.0,uneducated,married,<30k€,5,114,4,6660.0,red,2,1362,51,2660,1.36,0.759,0
3030,27.0,high school,single,<30k€,3,78,4,3480.0,red,3,0,75,2744,0.731,0.829,0
534,44.0,uneducated,divorced,<30k€,6,137,1,1706.0,red,3,0,45,2371,0.601,0.5,1
2374,37.0,graduate,single,<30k€,6,103,2,2622.0,red,1,2489,79,2717,0.84,0.549,0
4749,52.0,uneducated,married,70k€-110k€,1,147,3,4503.0,red,3,0,20,748,0.659,0.429,1
775,56.0,college,married,30k€-50k€,3,167,1,3224.0,red,1,2111,74,3707,0.601,0.682,0
7045,44.0,high school,single,<30k€,5,144,3,1954.0,red,2,808,70,4897,0.826,0.795,0
8648,49.0,college,,<30k€,2,147,1,13427.0,red plus,3,1507,63,4266,0.84,0.75,0
7796,54.0,graduate,married,,4,160,3,2002.0,red,3,1248,40,1585,0.502,0.905,0
4228,45.0,uneducated,single,30k€-50k€,2,142,3,8566.0,red,3,1484,89,4195,0.807,0.854,0
2853,54.0,graduate,divorced,30k€-50k€,2,137,4,4948.0,red,3,0,41,1796,0.392,0.519,1
9388,44.0,,single,,1,163,0,7114.0,red,3,1637,81,4758,0.699,0.5,0
2134,53.0,high school,single,+110k€,6,186,3,34516.0,red,3,2274,47,1795,0.788,0.679,0
7017,,high school,married,30k€-50k€,2,187,3,4629.0,red,4,710,49,2877,0.788,0.581,1
9247,57.0,uneducated,single,+110k€,3,167,4,24542.0,red,4,2354,24,984,0.314,0.263,1
3053,,,single,,4,119,3,1438.3,red,2,0,56,2549,0.748,0.75,1
971,52.0,high school,married,+110k€,6,126,1,34516.0,red,3,1013,37,1222,0.575,0.85,0
2340,43.0,high school,single,<30k€,4,147,2,2325.0,red,3,1662,83,4471,0.8,0.804,0
4096,52.0,uneducated,single,30k€-50k€,4,144,1,2784.0,red,3,2458,81,4904,0.798,0.8,0
1354,44.0,,single,<30k€,5,147,2,1438.3,red,3,0,71,4432,0.705,0.651,0
2746,44.0,graduate,married,<30k€,6,123,3,3143.0,red,2,2517,79,5409,0.959,0.881,0
5672,40.0,graduate,married,<30k€,6,146,2,1655.0,red,2,0,37,2156,0.496,0.194,1
2640,33.0,,married,30k€-50k€,4,63,1,1438.3,red,2,834,82,4551,0.684,0.64,0
4301,40.0,high school,married,70k€-110k€,3,158,3,34516.0,red plus,1,1987,122,16177,0.673,0.848,0
2476,51.0,graduate,single,70k€-110k€,2,188,2,5965.0,red,3,622,91,4637,0.728,0.655,0
7063,37.0,college,married,30k€-50k€,2,149,2,16199.0,red plus,1,1533,106,8150,0.855,0.631,0
6115,47.0,graduate,married,<30k€,3,152,3,1722.0,red,2,0,35,2141,0.863,0.346,1
8844,38.0,graduate,married,30k€-50k€,3,148,1,4549.0,red,2,990,123,13804,0.745,0.732,0
5792,36.0,graduate,single,30k€-50k€,3,67,2,2546.0,red,2,1348,75,4145,0.877,0.596,0
3542,41.0,phd,single,50k€-70k€,3,144,3,11328.0,red,3,1369,42,1829,0.585,0.312,1
4757,55.0,phd,married,<30k€,5,193,4,2495.0,red,3,2061,70,4399,0.849,0.707,0
9313,30.0,uneducated,married,<30k€,1,95,3,2218.0,red,3,1696,20,730,0.367,0.429,1
5434,31.0,,single,50k€-70k€,1,82,3,23760.0,red,3,1349,103,13124,0.961,0.746,0
1282,45.0,graduate,married,30k€-50k€,4,133,3,2701.0,red,3,2498,37,2678,0.637,0.609,1
5265,55.0,college,single,+110k€,2,204,3,16867.0,red,2,0,14,654,0.885,0.4,1
3978,48.0,college,divorced,30k€-50k€,6,127,2,2768.0,red,2,1329,78,4275,0.699,0.814,0
3069,58.0,phd,married,<30k€,1,190,3,1517.0,red,3,920,69,5067,0.825,0.865,0
4132,,uneducated,single,<30k€,4,229,2,3226.0,red,2,2073,70,3250,1.035,0.591,0
9895,48.0,high school,divorced,30k€-50k€,2,149,1,3308.0,red,1,2150,101,15019,0.879,0.656,0
8741,49.0,high school,,,6,114,3,6720.0,red,2,2143,85,5049,0.814,0.735,0
8921,47.0,phd,married,<30k€,3,120,2,7066.0,red,4,0,38,1695,0.479,0.31,1
3023,40.0,,married,<30k€,6,104,1,1438.3,red,2,674,31,1717,2.18,0.722,0
3122,55.0,graduate,single,70k€-110k€,5,147,3,12342.0,red,3,0,37,1430,0.431,0.423,1
7431,46.0,graduate,married,50k€-70k€,6,152,3,18821.0,red,3,774,75,4402,0.586,0.562,0
7215,47.0,uneducated,divorced,50k€-70k€,3,148,2,17196.0,red,1,1646,41,1466,0.542,1.278,0
1851,49.0,post-graduate,,70k€-110k€,4,176,0,4830.0,red,2,1970,80,4850,0.799,0.633,0
5493,60.0,post-graduate,single,70k€-110k€,3,194,3,30655.0,red,1,0,78,3280,0.475,0.625,0
4215,50.0,,divorced,30k€-50k€,3,147,0,2708.0,red,1,2517,41,2198,0.568,0.864,0
9023,,uneducated,married,50k€-70k€,1,132,6,1789.0,red,3,0,49,2784,0.637,0.581,1
5105,41.0,high school,single,<30k€,3,122,1,2709.0,red,3,1726,89,5056,0.698,0.78,0
7965,54.0,graduate,single,+110k€,2,147,1,34516.0,red unlimited,4,2088,123,15290,0.822,0.732,0
3629,54.0,graduate,single,+110k€,6,208,4,34516.0,red plus,3,1417,77,4303,0.966,0.638,0
1152,42.0,uneducated,married,30k€-50k€,1,136,2,3108.0,red,2,2280,99,14763,0.844,0.8,0
1293,48.0,,single,70k€-110k€,6,160,3,13241.0,red,2,0,76,3157,1.002,0.551,0
4766,44.0,post-graduate,single,<30k€,6,107,2,2256.0,red,2,1346,76,4893,0.911,0.81,0
10092,,graduate,single,<30k€,5,153,4,15987.0,premium,3,0,71,7681,0.827,0.69,1
8471,55.0,graduate,single,,6,180,3,18202.0,red,1,1841,68,3551,0.76,0.7,0
9289,50.0,uneducated,married,,6,147,1,4222.0,red,1,0,77,4487,0.523,1.081,0
6570,48.0,college,single,50k€-70k€,4,123,2,3307.0,red,2,2234,68,4006,0.818,0.838,0
7166,45.0,graduate,single,30k€-50k€,3,148,2,1484.0,red,4,885,74,4819,0.951,0.805,0
580,47.0,uneducated,married,50k€-70k€,3,172,2,3783.0,red,3,0,82,4383,0.59,0.783,0
4677,47.0,,single,<30k€,5,170,3,3261.0,red,3,814,89,4739,0.85,0.712,0
8496,56.0,high school,married,50k€-70k€,3,147,3,6705.0,red,2,0,18,731,0.749,0.5,1
8224,53.0,,single,70k€-110k€,2,148,2,11077.0,red,3,573,87,8165,0.973,0.776,1
5871,44.0,phd,married,70k€-110k€,6,154,2,12935.0,red,1,1417,61,3528,0.738,0.743,0
8804,31.0,graduate,married,<30k€,3,147,3,6911.0,red,2,2517,71,8123,0.934,0.732,1
5770,59.0,uneducated,single,30k€-50k€,6,147,1,5039.0,red,1,1352,68,3300,0.797,0.545,0
7304,50.0,post-graduate,single,<30k€,1,200,3,8516.0,red,4,0,37,2189,0.549,0.276,1
5115,36.0,uneducated,single,+110k€,2,99,1,34516.0,red,2,1022,88,8202,0.743,0.913,0
8162,41.0,high school,married,30k€-50k€,3,147,1,2801.0,red,3,1980,45,1600,0.882,0.406,0
8262,38.0,graduate,single,70k€-110k€,4,110,2,11806.0,red,3,1811,31,1465,0.754,0.476,0
6774,60.0,graduate,single,<30k€,1,199,3,12094.0,red plus,2,1870,106,8285,0.845,0.738,0
2586,,college,single,30k€-50k€,3,149,2,2502.0,red,3,1488,75,3763,0.56,0.875,0
653,35.0,high school,single,<30k€,5,96,2,3279.0,red,3,0,75,5048,0.765,0.923,0
4693,46.0,college,married,,3,157,4,6182.0,red,2,1516,61,3801,1.137,0.968,0
5994,47.0,graduate,,<30k€,6,146,3,1708.0,red,2,1059,79,4880,0.764,0.795,0
3339,64.0,graduate,single,,6,215,3,10775.0,red,2,1787,70,3432,0.648,0.75,0
4871,49.0,high school,married,70k€-110k€,5,148,2,9186.0,red,2,0,88,4986,0.658,0.76,0
9899,23.0,college,single,50k€-70k€,5,63,2,8267.0,red,1,1720,37,1917,0.633,0.48,0
371,,high school,married,30k€-50k€,3,159,2,2275.0,red,2,2138,83,7768,0.742,0.729,0
5786,52.0,college,married,50k€-70k€,4,119,2,19324.0,red,3,1040,50,1744,0.904,0.852,0
7305,64.0,college,married,50k€-70k€,5,179,3,1704.0,red,3,0,17,660,0.701,0.308,1
7923,52.0,college,single,,6,199,3,13184.0,red,2,0,33,2047,1.166,0.179,1
364,45.0,graduate,single,30k€-50k€,5,167,4,7457.0,red,2,0,64,3162,0.717,0.73,0
9912,41.0,high school,single,<30k€,6,143,5,5492.0,red,3,1573,45,2416,0.636,0.667,1
3520,31.0,high school,,,2,108,2,16950.0,red,1,0,97,7821,0.625,0.672,0
2554,45.0,high school,married,70k€-110k€,3,147,2,2509.0,red,2,1464,72,3166,1.25,0.946,0
6566,42.0,college,single,70k€-110k€,1,135,3,34516.0,red plus,3,0,43,2534,1.492,0.433,1
9961,41.0,graduate,single,<30k€,5,129,1,3390.0,red,2,2222,82,5001,0.768,0.822,0
7109,51.0,uneducated,single,70k€-110k€,3,148,4,22103.0,red,1,1515,29,1541,0.506,0.318,0
4060,64.0,graduate,married,+110k€,5,210,5,17934.0,red,2,1578,48,2005,0.593,0.778,0
2815,60.0,uneducated,single,50k€-70k€,1,147,3,23058.0,red,1,1534,82,7009,0.701,0.708,0
4794,23.0,high school,married,70k€-110k€,6,66,2,4158.0,red,2,1635,37,1678,0.778,0.542,0
695,49.0,high school,,<30k€,3,149,2,1824.0,red,3,0,86,4594,0.797,0.654,0
8445,52.0,high school,single,<30k€,6,146,3,1787.0,red,3,1324,79,4084,0.684,1.026,0
6704,51.0,,married,30k€-50k€,4,179,0,6205.0,red,1,2204,28,1347,0.803,0.556,0
332,21.0,college,divorced,<30k€,4,61,3,2549.0,red,3,2130,61,2605,0.693,0.794,0
3518,66.0,high school,single,,4,147,5,4465.0,red,3,703,66,4044,1.026,0.65,0
508,49.0,graduate,single,+110k€,5,120,2,18284.0,red,2,1144,92,4846,0.767,0.736,0
197,43.0,uneducated,,30k€-50k€,5,156,2,9449.0,red,4,1914,93,4658,0.87,0.722,0
57,48.0,uneducated,single,<30k€,2,199,2,1719.0,red,2,0,65,4869,0.579,0.512,0
2352,57.0,graduate,single,30k€-50k€,2,186,1,4942.0,red,2,2119,85,7460,0.718,0.604,0
9685,50.0,graduate,married,30k€-50k€,3,179,2,1606.0,red,4,0,37,2258,0.763,0.609,1
2676,51.0,graduate,married,,2,167,5,3853.0,red,3,696,38,2443,0.882,0.583,1
5999,37.0,high school,divorced,30k€-50k€,3,150,3,4650.0,red,2,204,54,2014,0.685,0.8,1
1498,57.0,graduate,single,<30k€,5,160,2,4404.0,red,3,2272,93,15709,0.809,0.722,0
1722,43.0,post-graduate,married,<30k€,6,160,2,1790.0,red,2,0,87,4141,0.516,0.74,0
731,44.0,graduate,married,<30k€,3,143,4,5438.0,red,6,2214,75,5029,0.668,0.562,0
8682,34.0,graduate,single,30k€-50k€,3,115,3,3701.0,red,2,969,86,3222,1.079,0.623,0
8795,47.0,high school,divorced,<30k€,5,146,2,2776.0,red,4,1341,68,4318,0.744,0.943,0
5160,34.0,graduate,single,<30k€,2,120,3,7504.0,red,3,1134,100,7525,0.67,0.449,0
3416,38.0,post-graduate,single,<30k€,6,95,1,2410.0,red,2,1705,69,2505,0.798,0.568,0
8690,43.0,graduate,single,<30k€,2,131,2,1933.0,red,2,1127,71,4833,0.705,0.69,0
9335,54.0,graduate,single,+110k€,2,148,1,17268.0,red,2,1197,90,4077,0.637,0.698,0
1697,39.0,post-graduate,,70k€-110k€,1,119,3,9959.0,red,1,1501,86,8505,0.822,0.536,0
6900,42.0,uneducated,single,<30k€,5,148,4,1687.0,red,2,1290,87,4247,0.709,0.706,0
9300,49.0,graduate,married,50k€-70k€,6,141,0,9261.0,red,3,1605,44,2468,0.571,0.419,0
6194,50.0,uneducated,single,+110k€,2,149,3,8671.0,red,1,590,72,4399,0.693,0.756,0
3675,40.0,post-graduate,married,<30k€,2,131,2,2726.0,red,3,2127,89,5578,0.814,0.854,0
1346,43.0,graduate,single,70k€-110k€,4,135,2,32535.0,red,2,0,79,4374,0.792,0.795,0
5137,32.0,college,single,<30k€,6,135,3,3119.0,red,2,2517,50,2492,0.722,0.515,1
4097,59.0,phd,married,30k€-50k€,2,166,3,3667.0,red,3,809,79,5322,0.778,0.975,0
6589,28.0,graduate,married,<30k€,6,81,0,2834.0,red,1,1418,39,1598,1.458,0.773,0
4585,67.0,graduate,single,<30k€,1,147,4,1682.0,red,3,0,39,1811,0.75,0.5,1
8195,36.0,uneducated,,<30k€,4,142,0,6218.0,red,5,2134,50,2086,1.25,0.786,0
1495,53.0,graduate,,<30k€,6,130,3,2652.0,red,1,1911,79,4816,0.831,0.881,0
6709,39.0,college,married,50k€-70k€,1,106,2,3879.0,red,2,0,81,7786,0.928,0.929,1
6050,44.0,high school,married,70k€-110k€,1,149,2,21526.0,red,1,1320,105,14441,0.762,0.875,0
4612,33.0,graduate,married,70k€-110k€,5,79,2,9959.0,red,3,2377,39,1560,1.1,0.696,0
6287,58.0,uneducated,married,30k€-50k€,3,201,3,1626.0,red,1,0,87,4830,0.664,0.642,0
6416,26.0,graduate,single,<30k€,4,86,2,1585.0,red,3,1535,49,2299,0.462,0.485,0
